Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,CV_RMSE
Lasso,0.9874945569485549,0.5923376744759068,0.9417872173547873,2.8634194452434043,0.8230356906987216,2.6071073831595335,2.933±0.526
ElasticNet,0.9876340127671408,0.5870875596822144,0.9365212735790625,2.881798857792678,0.8173654855501661,2.6001550200901575,3.015±0.490
Ridge,0.988387576509317,0.5319933779275963,0.9075377164659828,3.0680376171256216,0.7775585948171038,2.682038541953204,3.222±0.357
Random Forest,0.7218703541191189,0.4740801222023491,4.441471621801442,3.252329017818728,2.538180828281528,2.9016443719096023,8.157±1.250
Gradient Boosting,0.9334784287989778,0.054188338759758925,2.172123425852796,4.361511412777152,1.0327714104275039,3.9583488644886797,6.674±1.712
SVR (RBF),0.8618529576503242,0.03293459224284856,3.1302141177049756,4.410243874632238,0.685985459241841,3.961634435431029,7.453±2.732
KNN (K=3),0.7324309216640792,-0.2581355809905206,4.356334419285274,5.030352318122901,3.18076923076923,4.219047619047619,6.959±1.901
Linear Regression,1.0,-8.761194828554766,1.941081373503403e-14,14.011549701933069,1.6004291908827257e-14,11.44267218617274,5.242±2.063
